MRUN,n_oportunidades,n_supera,n_supera_con_empate,mejor_puntaje,mejor_margen,tiene_alternativa,estado3,n_preferencias,n_carreras_distintas,DEP_NOMBRE,CLEC_MAX,MATE1_MAX,ptje_obligatorias,decil,grupo_hipotesis
12946367,1,1,1,654.4,147.34999999999997,True,Con alternativa alcanzable,3,3,Part. Subvencionado,725,807,766.0,6,Otro
12946707,124,56,56,502.5,134.8,True,Con alternativa alcanzable,15,15,Municipal,410,403,406.5,8,Publico
12946837,1,0,0,876.4,-34.89999999999998,False,"Con candidatos, sin alcanzar",3,1,Municipal,823,900,861.5,99,Publico
12947552,0,0,0,,,False,Sin candidatos evaluables,4,4,Municipal,607,460,533.5,2,Publico
12948049,1,0,0,757.2,-154.0999999999999,False,"Con candidatos, sin alcanzar",1,1,SLEP,756,723,739.5,2,Publico
12948645,47,26,26,474.15,101.19999999999999,True,Con alternativa alcanzable,6,2,Corp. Municipal,455,526,490.5,99,Publico
12949261,54,46,46,543.8,175.2,True,Con alternativa alcanzable,5,5,Part. Subvencionado,576,539,557.5,99,Otro
12950653,24,18,18,528.4,165.5,True,Con alternativa alcanzable,5,5,Part. Subvencionado,477,508,492.5,99,Otro
12952695,1,0,0,863.8,-47.5,False,"Con candidatos, sin alcanzar",5,2,Part. Subvencionado,871,861,866.0,99,Otro
12956480,21,9,9,649.9,275.2,True,Con alternativa alcanzable,1,1,Part. Subvencionado,500,487,493.5,5,Otro
12959674,28,28,28,742.7,323.8,True,Con alternativa alcanzable,9,8,Part. Pagado,663,900,781.5,8,Part. Pagado
12960342,11,8,8,607.1,238.0,True,Con alternativa alcanzable,3,1,Part. Subvencionado,621,571,596.0,4,Otro
12961620,0,0,0,,,False,Sin candidatos evaluables,4,4,Part. Subvencionado,619,807,713.0,3,Otro
12962459,5,5,5,653.9,190.39999999999998,True,Con alternativa alcanzable,2,2,Part. Subvencionado,597,682,639.5,2,Otro
12962503,24,13,13,662.9,288.2,True,Con alternativa alcanzable,2,2,SLEP,576,486,531.0,99,Publico
12963281,19,13,13,553.6,201.10000000000002,True,Con alternativa alcanzable,4,4,Part. Subvencionado,477,412,444.5,8,Otro
12963957,16,9,9,530.9,86.29999999999995,True,Con alternativa alcanzable,5,5,SLEP,455,460,457.5,99,Publico
12964046,9,8,8,652.3,219.84999999999997,True,Con alternativa alcanzable,4,3,SLEP,397,446,421.5,2,Publico
12964357,1,0,0,754.8,-156.5,False,"Con candidatos, sin alcanzar",1,1,Part. Subvencionado,710,861,785.5,1,Otro
12965759,99,76,76,700.4,337.5,True,Con alternativa alcanzable,20,12,Part. Subvencionado,467,421,444.0,7,Otro
12966485,74,57,57,585.5,210.8,True,Con alternativa alcanzable,7,7,Part. Subvencionado,555,579,567.0,1,Otro
12967511,13,11,11,601.75,192.99999999999994,True,Con alternativa alcanzable,4,4,SLEP,607,601,604.0,9,Publico
12967678,21,18,18,591.3,209.59999999999997,True,Con alternativa alcanzable,5,2,Part. Subvencionado,410,618,514.0,99,Otro
12968505,1,0,0,852.6,-58.69999999999993,False,"Con candidatos, sin alcanzar",5,1,Part. Subvencionado,740,937,838.5,4,Otro
12971170,25,20,20,551.3,196.69999999999993,True,Con alternativa alcanzable,16,5,Corp. Municipal,540,516,528.0,9,Publico
12971504,3,3,3,579.8,178.59999999999997,True,Con alternativa alcanzable,4,4,Part. Subvencionado,598,634,616.0,99,Otro
12971508,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,770,723,746.5,2,Otro
12972199,126,95,95,673.8,306.09999999999997,True,Con alternativa alcanzable,11,11,Part. Subvencionado,376,516,446.0,99,Otro
12973155,11,9,9,472.8,91.29999999999995,True,Con alternativa alcanzable,4,1,Part. Subvencionado,467,553,510.0,9,Otro
12974661,24,9,9,506.8,132.10000000000002,True,Con alternativa alcanzable,5,3,Part. Subvencionado,467,432,449.5,99,Otro
12975756,1,0,0,766.1,-145.19999999999993,False,"Con candidatos, sin alcanzar",2,1,Part. Subvencionado,795,723,759.0,5,Otro
12975961,44,44,44,668.2,281.6,True,Con alternativa alcanzable,6,5,SLEP,467,502,484.5,8,Publico
12976500,0,0,0,,,False,Sin candidatos evaluables,7,7,Part. Subvencionado,674,645,659.5,7,Otro
12977568,1,0,0,761.6,-149.69999999999993,False,"Con candidatos, sin alcanzar",4,1,Municipal,682,824,753.0,1,Publico
12978061,3,1,1,538.5,19.0,True,Con alternativa alcanzable,1,1,SLEP,467,553,510.0,1,Publico
12981164,5,4,4,602.0,203.5,True,Con alternativa alcanzable,9,6,Part. Subvencionado,492,553,522.5,7,Otro
12982457,7,5,5,542.95,104.90000000000003,True,Con alternativa alcanzable,8,3,SLEP,514,589,551.5,5,Publico
12983458,19,19,19,843.7,476.00000000000006,True,Con alternativa alcanzable,2,1,Part. Subvencionado,674,645,659.5,6,Otro
